,_coordinates,_sent,a_head_form,a_head_number,a_head_pos,a_hypernyms,a_non_article_det,a_parent,a_pos_after_head,a_pos_before_head,a_referent,a_words_after_head,a_words_after_np,a_words_before_head,a_words_before_np,Y_PREDICTED,Y_TRUE
5234,data/parsed/22/wsj_2234.mrg|11|95,"Majority Whip William Gray owes a political debt to Southern agriculture lawmakers for his rise in the House , and the Philadelphia Democrat used his position in the conference to salvage the exemption from [ a total ban . ]",ban,sg,NN,[u'decree.n.01'],,PP,['.'],['JJ'],True,['.'],[],['total'],"['exemption', 'from']",THE,A
5365,data/parsed/22/wsj_2235.mrg|1|103,"Enjoying several blockbuster movie hits including `` Batman , '' Los Angeles-based Guber-Peters Entertainment Co. reported earnings for the first quarter ended Aug. 31 of $ 5.8 million , or 50 cents a share , compared with [ a year-earlier loss . ]",loss,sg,NN,[u'transferred_property.n.01'],,PP,['.'],['JJ'],False,['.'],[],['year-earlier'],"[u'compare', 'with']",THE,A
5452,data/parsed/22/wsj_2237.mrg|1|82,"Congress has been critical of the Bush administration for not sending enough aid to Poland , so it is getting ready to send its own version of [ a CARE package . ]",package,sg,NN,[u'collection.n.01'],,PP,['.'],['JJ'],False,['.'],[],['CARE'],"['version', 'of']",THE,A
5455,data/parsed/22/wsj_2237.mrg|2|26,"Last month , the Senate voted to send [ a delegation ] of congressional staffers to Poland to assist its legislature , the Sejm , in democratic procedures .",delegation,sg,NN,[u'organization.n.01'],,NP,[],[],False,[],"['of', 'congressional']",[],"['to', 'send']",THE,A
5648,data/parsed/22/wsj_2239.mrg|25|59,"In particular , they said S , firms such as First Boston Corp. and Drexel Burnham Lambert Inc. began making [ a market ] in junk issues early in the session when prices hit severely depressed levels .",market,sg,NN,[u'activity.n.01'],,VP,[],[],True,[],"['in', 'junk']",[],"[u'begin', u'make']",THE,A
5728,data/parsed/22/wsj_2239.mrg|38|38,"Industrial production is expected to have declined 0.2 % , according to [ a consensus ] of economists surveyed by Dow Jones Capital Markets Report .",consensus,sg,NN,[u'agreement.n.03'],,NP,[],[],False,[],"['of', u'economist']",[],"[u'accord', 'to']",THE,A
5756,data/parsed/22/wsj_2239.mrg|44|12,"Resolution Funding is [ a division ] of Resolution Trust Corp. , the new federal agency created to bail out the nation 's troubled thrifts .",division,sg,NN,[u'army_unit.n.01'],,NP,[],[],False,[],"['of', 'Resolution']",[],"['Funding', u'be']",THE,A
5777,data/parsed/22/wsj_2239.mrg|50|27,"The benchmark 30-year Treasury bond was quoted late at [ a price ] of 101 19\\/32 , compared with a closing price of 103 12\\/32 Friday .",price,sg,NN,[u'value.n.02'],,NP,[],[],True,[],"['of', '<number>']",[],"['late', 'at']",THE,A
5779,data/parsed/22/wsj_2239.mrg|50|50,"The benchmark 30-year Treasury bond was quoted late at a price of 101 19\\/32 , compared with [ a closing price ] of 103 12\\/32 Friday .",price,sg,NN,[u'value.n.02'],,NP,[],['NN'],True,[],"['of', '<number>']",['closing'],"[u'compare', 'with']",THE,A
5788,data/parsed/22/wsj_2239.mrg|52|34,"The latest 10-year notes were quoted late at 100 3\\/32 for [ a yield ] of 7.97 % , compared with 101 9\\/32 to yield 7.84 % .",yield,sg,NN,[u'production.n.07'],,NP,[],[],True,[],"['of', '<number>']",[],"['3\\\\/32', 'for']",THE,A
5953,data/parsed/22/wsj_2239.mrg|85|22,"Tax-exempts started the session flat to [ a touch ] higher on anticipation of further stock market erosion , but bond prices rapidly turned south as it became more clear that a repeat of the October 1987 crash was n't at hand .",touch,sg,NN,[u'contact.n.04'],,PP,[],[],False,[],"[u'high', 'on']",[],"['flat', 'to']",THE,A
5958,data/parsed/22/wsj_2239.mrg|85|87,"Tax-exempts started the session flat to a touch higher on anticipation of further stock market erosion , but bond prices rapidly turned south as it became more clear that [ a repeat ] of the October 1987 crash was n't at hand .",repeat,sg,NN,[u'periodic_event.n.01'],,NP,[],[],False,[],['of'],[],"['clear', 'that']",THE,A
5967,data/parsed/22/wsj_2239.mrg|87|39,Traders said retail investors seemed to be hugging the sidelines until [ a measure ] of volatility is wrung out of the market .,measure,sg,NN,[u'maneuver.n.04'],,NP,[],[],False,[],"['of', 'volatility']",[],"[u'sideline', 'until']",THE,A
6056,data/parsed/22/wsj_2241.mrg|3|88,The spokesman said Laidlaw would n't increase its stake in ADT beyond 30 % `` without a great deal of thought '' because of British takeover regulations that require [ a company ] acquiring more than 30 % to extend an offer to the rest of the company 's shareholders .,company,sg,NN,[u'institution.n.01'],,VP,[],[],False,[],"[u'acquire', 'more']",[],"['that', 'require']",THE,A
6058,data/parsed/22/wsj_2241.mrg|3|113,The spokesman said Laidlaw would n't increase its stake in ADT beyond 30 % `` without a great deal of thought '' because of British takeover regulations that require a company acquiring more than 30 % to extend [ an offer ] to the rest of the company 's shareholders .,offer,sg,NN,[u'speech_act.n.01'],,VP,[],[],False,[],['to'],[],"['to', 'extend']",THE,A
6063,data/parsed/22/wsj_2241.mrg|4|9,"ADT , [ a security services and auctions company , ] trades on London 's Stock Exchange .",company,sg,NN,[u'institution.n.01'],,NP,"[',']","['NN', 'NNS', 'CC', 'NNS']",True,"[',']","[u'trade', 'on']","['security', u'service', 'and', u'auction']","['ADT', ',']",THE,A
6068,data/parsed/22/wsj_2241.mrg|5|25,"Laidlaw is 47%-controlled by Canadian Pacific Ltd. , [ a Montreal transportation , resources and industrial holding concern . ]",concern,sg,NN,[u'interest.n.01'],,NP,['.'],"['NNP', 'NN', ',', 'NNS', 'CC', 'JJ', 'VBG']",True,['.'],[],"['Montreal', 'transportation', ',', u'resource', 'and', 'industrial', u'hold']","['Ltd.', ',']",THE,A
6248,data/parsed/22/wsj_2246.mrg|2|67,"U.S. Banknote said it is in negotiations to sell `` certain facilities , '' which it did n't name , to [ a third party , ] and it needs the extension to try to reach a definitive agreement on the sale .",party,sg,NN,[u'organization.n.01'],,PP,"[',']",['JJ'],False,"[',']","['and', 'it']",['third'],"[',', 'to']",THE,A
6267,data/parsed/22/wsj_2246.mrg|5|34,U.S. Banknote said `` there can be no assurance '' [ a sale agreement ] would be concluded .,agreement,sg,NN,[u'statement.n.01'],,S,[],['NN'],True,[],"['would', 'be']",['sale'],"['assurance', ""''""]",THE,A
6307,data/parsed/22/wsj_2247.mrg|2|66,"Under the terms of the contract , New York-based Gitano has the option to acquire the remaining 50 % of Regatta , [ a maker ] of men 's and women 's clothes sold primarily in department stores , under certain conditions .",maker,sg,NN,[u'creator.n.02'],,NP,[],[],True,[],"['of', 'men']",[],"['Regatta', ',']",THE,A
6426,data/parsed/22/wsj_2249.mrg|8|19,"In August , Di Giorgio , [ a San Francisco food products and building materials marketing and distribution company , ] rejected Mr. Goldberg 's offer as inadequate .",company,sg,NN,[u'institution.n.01'],,NP,"[',']","['NNP', 'NNP', 'NN', 'NNS', 'CC', 'NN', 'NNS', 'NN', 'CC', 'NN']",False,"[',']","[u'reject', 'Mr.']","['San', 'Francisco', 'food', u'product', 'and', 'building', u'material', 'marketing', 'and', 'distribution']","['Giorgio', ',']",THE,A
6517,data/parsed/22/wsj_2250.mrg|19|32,Agfa recently signed Olympic gold medalist Florence Griffith-Joyner to endorse [ a new line ] of black-and-white paper that 's geared to consumers and will compete directly with Kodak 's papers .,line,sg,NN,[u'formation.n.01'],,NP,[],['JJ'],True,[],"['of', 'black-and-white']",['new'],"['to', 'endorse']",THE,A
6597,data/parsed/22/wsj_2250.mrg|33|11,The campaign won [ a Cleo award ] as this year 's best ad by a specialty retailer .,award,sg,NN,[u'grant.n.02'],,VP,[],['NNP'],False,[],"['as', 'this']",['Cleo'],"['campaign', u'win']",THE,A
6685,data/parsed/22/wsj_2250.mrg|54|14,"Charles Beseler Co. , [ a leading maker ] of photographic enlargers , introduced last month a complete darkroom starter kit targeted at teen-agers who want to process their own black-and-white photographs .",maker,sg,NN,[u'creator.n.02'],,NP,[],['VBG'],False,[],"['of', 'photographic']",[u'lead'],"['Co.', ',']",THE,A
6821,data/parsed/22/wsj_2252.mrg|6|57,"Gatoil Suisse owns an oil refinery in Switzerland with a capacity of 70,000 barrels a day , along with [ a network ] of gasoline retailing outlets .",network,sg,NN,[u'system.n.02'],,NP,[],[],False,[],"['of', 'gasoline']",[],"['along', 'with']",THE,A
6880,data/parsed/22/wsj_2253.mrg|8|4,"[ A leading authority ] on the business cycle , Mr. Moore also is a member of the Business Cycle Dating Group , the panel of private economists that decides for the government when expansions and recessions begin and end .",authority,sg,NN,[u'control.n.01'],,NP,[],['JJ'],False,[],['on'],['leading'],[],THE,A
6890,data/parsed/22/wsj_2253.mrg|9|23,The group normally convenes only when [ a change ] in the economy 's general course seems likely .,change,sg,NN,[u'happening.n.01'],,NP,[],[],False,[],['in'],[],"['only', 'when']",THE,A
6969,data/parsed/22/wsj_2253.mrg|22|25,"Other components of the long leading indicator include [ a ratio ] of prices to unit labor costs in manufacturing industries , the M2 version of the money supply , adjusted for inflation , and the volume of new home-building permits .",ratio,sg,NN,[u'magnitude_relation.n.01'],,NP,[],[],False,[],"['of', u'price']",[],"['indicator', 'include']",THE,A
6998,data/parsed/22/wsj_2253.mrg|25|13,"It was assigned [ a mark ] of 80 out of a possible 100 , compared with scores ranging as low as 69 for the other components .",mark,sg,NN,[u'evaluation.n.02'],,NP,[],[],False,[],"['of', '<number>']",[],"[u'be', u'assign']",THE,A
7142,data/parsed/22/wsj_2256.mrg|1|14,"THE STOCK MARKET AVOIDED [ a repeat ] of Black Monday as prices recovered from an early slide , spurred by bargain-hunting institutions and program traders .",repeat,sg,NN,[u'periodic_event.n.01'],,NP,[],[],False,[],"['of', 'Black']",[],"['MARKET', 'AVOIDED']",THE,A
7182,data/parsed/22/wsj_2256.mrg|11|8,"Also , [ a UAL group ] tried to get financing for a lower bid , possibly $ 250 a share .",group,sg,NN,[u'abstraction.n.06'],,S,[],['NNP'],False,[],"[u'try', 'to']",['UAL'],"['Also', ',']",THE,A
7201,data/parsed/22/wsj_2256.mrg|15|17,The computer giant partly cited [ a stronger dollar ] and a delay in shipping a new high-end disk drive .,dollar,sg,NN,[u'monetary_unit.n.01'],,NP,[],['JJR'],False,[],['and'],[u'strong'],"['partly', u'cite']",THE,A
7227,data/parsed/22/wsj_2256.mrg|20|26,Darman hopes to prod Congress to finish [ a deficit plan . ],plan,sg,NN,[u'idea.n.01'],,VP,['.'],['NN'],True,['.'],[],['deficit'],"['to', 'finish']",THE,A
7229,data/parsed/22/wsj_2256.mrg|21|24,The S&L bailout agency would be restricted by [ a new bill ] in how it raises capital .,bill,sg,NN,[u'legal_document.n.01'],,PP,[],['JJ'],False,[],"['in', 'how']",['new'],"[u'restrict', 'by']",THE,A
7235,data/parsed/22/wsj_2256.mrg|23|3,[ A natural gas rule ] was struck down by a federal appeals court .,rule,sg,NN,[u'concept.n.01'],,S,[],"['JJ', 'NN']",False,[],"[u'be', u'strike']","['natural', 'gas']",[],THE,A
7236,data/parsed/22/wsj_2256.mrg|23|24,A natural gas rule was struck down by [ a federal appeals court . ],court,sg,NN,[u'assembly.n.04'],,PP,['.'],"['JJ', 'NNS']",False,['.'],[],"['federal', u'appeal']","['down', 'by']",THE,A
7244,data/parsed/22/wsj_2256.mrg|25|25,The Supreme Court agreed to decide whether [ a federal court ] may dismantle a merger that has won regulatory approval but been ruled anticompetitive in a private suit .,court,sg,NN,[u'assembly.n.04'],,S,[],['JJ'],True,[],"['may', 'dismantle']",['federal'],"['decide', 'whether']",THE,A
7255,data/parsed/22/wsj_2256.mrg|27|33,"Bear Stearns posted a 7.5 % gain , while PaineWebber had [ a decline ] due to a year-ago gain .",decline,sg,NN,[u'decrease.n.02'],,VP,[],[],False,[],"['due', 'to']",[],"['PaineWebber', u'have']",THE,A
7256,data/parsed/22/wsj_2256.mrg|27|44,"Bear Stearns posted a 7.5 % gain , while PaineWebber had a decline due to [ a year-ago gain . ]",gain,sg,NN,[u'indefinite_quantity.n.01'],,PP,['.'],['JJ'],False,['.'],[],['year-ago'],"['due', 'to']",THE,A
7531,data/parsed/22/wsj_2258.mrg|4|58,"Under the agreement , Intel will invest $ 3 million to acquire a 4 % stake in Alliant , [ a maker ] of minisupercomputers for scientists and engineers .",maker,sg,NN,[u'creator.n.02'],,NP,[],[],False,[],"['of', 'minisupercomputers']",[],"['Alliant', ',']",THE,A
7543,data/parsed/22/wsj_2258.mrg|5|93,"Alliant , based in Littleton , Mass. , will license its parallel-computing technologies to Intel , providing users a way to let many i860 microprocessors in a single computer work on [ a problem ] simultaneously .",problem,sg,NN,[u'difficulty.n.03'],,PP,[],[],False,[],"['simultaneously', '.']",[],"['work', 'on']",THE,A
7663,data/parsed/22/wsj_2262.mrg|2|4,"[ A unit ] of troubled Southmark Corp. , the operator of nursing homes and retirement centers said it sustained a net loss of $ 1.6 million , or nine cents a share , compared with net income of $ 1.3 million , or eight cents a share , a year earlier .",unit,sg,NN,[u'definite_quantity.n.01'],,NP,[],[],False,[],"['of', 'troubled']",[],[],THE,A
7744,data/parsed/22/wsj_2264.mrg|1|3,[ An American journalist ] now is standing trial in Namibia .,journalist,sg,NN,[u'writer.n.01'],,S,[],['JJ'],False,[],"['now', u'be']",['American'],[],THE,A
7752,data/parsed/22/wsj_2264.mrg|2|65,This is the place that world opinion has been celebrating over in the expectation that it 's going to hold [ an election . ],election,sg,NN,[u'vote.n.02'],,VP,['.'],[],False,['.'],[],[],"['to', 'hold']",THE,A
7770,data/parsed/22/wsj_2264.mrg|6|36,"Mr. Stanley is on trial over charges that he violated [ a proclamation , ] issued by the South African administrator general earlier this year , which made it a crime punishable by two years in prison for any person to `` insult , disparate or belittle '' the election commission .",proclamation,sg,NN,[u'statement.n.01'],,NP,"[',']",[],False,"[',']","[u'issue', 'by']",[],"['he', u'violate']",THE,A
7891,data/parsed/22/wsj_2265.mrg|3|34,"Later , however , it became more of an undercurrent than [ a dominating force ] as individual markets reacted more to their own factors .",force,sg,NN,[u'influence.n.01'],,PP,[],['NN'],False,[],"['as', 'individual']",['dominating'],"['undercurrent', 'than']",THE,A
7908,data/parsed/22/wsj_2265.mrg|5|34,Copper and crude oil reacted sharply to the concern that [ a crash ] yesterday could have a potentially devastating effect on the economy .,crash,sg,NN,[u'noise.n.01'],,NP,[],[],False,[],"['yesterday', 'could']",[],"['concern', 'that']",THE,A
7930,data/parsed/22/wsj_2265.mrg|10|33,"Livestock and meat prices , however , dropped on concern that [ a financial crisis ] would cut consumption of beef and pork .",crisis,sg,NN,[u'situation.n.03'],,S,[],['JJ'],False,[],"['would', 'cut']",['financial'],"['concern', 'that']",THE,A
7992,data/parsed/22/wsj_2265.mrg|21|72,"On Black Monday , Oct. 19 , 1987 , the October contract tacked on further gains , rising to as high as $ 491.50 for [ a gain ] of almost $ 20 on top of the Friday advances , before giving up almost $ 10 of that at the close .",gain,sg,NN,[u'indefinite_quantity.n.01'],,NP,[],[],False,[],"['of', 'almost']",[],"['<number>', 'for']",THE,A
8106,data/parsed/22/wsj_2265.mrg|41|40,Prices were down from the outset of trading on concern that [ a drop ] in the stock market might create a weakened economy and a consequent reduction in copper use .,drop,sg,NN,[u'sphere.n.05'],,NP,[],[],True,[],['in'],[],"['concern', 'that']",THE,A
8135,data/parsed/22/wsj_2265.mrg|46|20,"`` For all intents and purposes , [ an agreement ] appears to have been achieved , '' he said .",agreement,sg,NN,[u'statement.n.01'],,S,[],[],False,[],"[u'appear', 'to']",[],"[u'purpose', ',']",THE,A
8232,data/parsed/22/wsj_2265.mrg|66|3,"[ A price-depressing factor , ] one analyst said S , was that India , which had been expected to buy around 200,000 tons of sugar in the world market , did n't make any purchases .",factor,sg,NN,[u'cause.n.01'],,S,"[',']",['JJ'],False,"[',']","['one', 'analyst']",['price-depressing'],[],THE,A
8296,data/parsed/22/wsj_2265.mrg|76|3,"[ A broad rally ] began when several major processors began buying futures contracts , apparently to take advantage of the price dip .",rally,sg,NN,[u'gathering.n.01'],,S,[],['JJ'],False,[],"[u'begin', 'when']",['broad'],[],THE,A
8379,data/parsed/22/wsj_2267.mrg|4|107,"As previously reported , under the terms of a confidentiality agreement with Dunkin ' Donuts , the partners agreed to keep their offer open until Nov. 1 , and not to acquire any additional shares except through [ a tender offer ] expiring on that date .",offer,sg,NN,[u'speech_act.n.01'],,NP,[],['NN'],True,[],"[u'expire', 'on']",['tender'],"['except', 'through']",THE,A
8395,data/parsed/22/wsj_2267.mrg|7|12,"Cara Operations , [ a food services concern , ] and Unicorp , a holding company with interests in oil and natural gas and financial services , are based in Toronto .",concern,sg,NN,[u'interest.n.01'],,NP,"[',']","['NN', 'NNS']",False,"[',']","['and', 'Unicorp']","['food', u'service']","['Operations', ',']",THE,A
8469,data/parsed/22/wsj_2269.mrg|2|88,"The maker of home appliances said the process , which involves the use of a multilayer plastic bag during repairs to capture the gaseous substance and transport it to [ a recycling center , ] is already in use at a number of its service centers , and will be available to all authorized repair centers by spring .",center,sg,NN,[u'area.n.01'],,PP,"[',']",['NN'],False,"[',']","[u'be', 'already']",['recycling'],"['it', 'to']",THE,A
8478,data/parsed/22/wsj_2269.mrg|3|30,Earlier repairs vented the CFCs out of the home through [ a hose ] directly into the atmosphere .,hose,sg,NN,[u'footwear.n.01'],,PP,[],[],False,[],"['directly', 'into']",[],"['home', 'through']",THE,A
8486,data/parsed/22/wsj_2269.mrg|5|55,"But their use has been linked to a potentially dangerous depletion of the Earth 's ozone layer , and [ a number ] of companies are seeking to curtail use , or at least emission , of the substance .",number,sg,NN,[u'amount.n.02'],,NP,[],[],True,[],"['of', u'company']",[],"[',', 'and']",THE,A
8627,data/parsed/22/wsj_2272.mrg|4|77,"Memotec said under the agreement , ISI , a Braintree , Mass. , provider of computer software and services to the insurance industry , will merge with [ a U.S. unit ] of Memotec created for that purpose .",unit,sg,NN,[u'definite_quantity.n.01'],,NP,[],['NNP'],False,[],"['of', 'Memotec']",['U.S.'],"['merge', 'with']",THE,A
8747,data/parsed/22/wsj_2274.mrg|6|34,These are used aboard military helicopters to warn pilots that [ a laser weapon ] has been focused on them .,weapon,sg,NN,[u'instrument.n.01'],,S,[],['NN'],False,[],"[u'have', u'be']",['laser'],"[u'pilot', 'that']",THE,A
8856,data/parsed/22/wsj_2276.mrg|10|13,It ended with [ a gain ] of 88.12 points .,gain,sg,NN,[u'indefinite_quantity.n.01'],,NP,[],[],True,[],"['of', '<number>']",[],"[u'end', 'with']",THE,A
8895,data/parsed/22/wsj_2276.mrg|19|12,"In London , [ a midday rally ] left the market 's major index off 3.2 % , and Tokyo 's leading stock index fell only 1.8 % in surprisingly lackluster trading .",rally,sg,NN,[u'gathering.n.01'],,S,[],['NN'],False,[],[u'leave'],['midday'],"['London', ',']",THE,A
8932,data/parsed/22/wsj_2276.mrg|24|35,"In Somerset , Wis. , Adrian Sween , who owns [ a supplier ] of nursing-home equipment and is n't active in the stock market , agrees .",supplier,sg,NN,[u'businessperson.n.01'],,NP,[],[],False,[],"['of', 'nursing-home']",[],"['who', u'own']",THE,A
8964,data/parsed/22/wsj_2276.mrg|30|31,And the widely disseminated opinion among most market experts that [ a crash ] was n't in store also helped calm investors .,crash,sg,NN,[u'noise.n.01'],,S,[],[],False,[],"[u'be', ""n't""]",[],"[u'expert', 'that']",THE,A
8999,data/parsed/22/wsj_2276.mrg|35|66,"So investors everywhere nervously eyed yesterday 's opening in Tokyo , where the Nikkei average of 225 blue-chip stocks got off to [ a rocky start . ]",start,sg,NN,[u'beginning.n.01'],,PP,['.'],['JJ'],False,['.'],[],['rocky'],"['off', 'to']",THE,A
9032,data/parsed/22/wsj_2276.mrg|42|31,Frankfurt 's opening was delayed a half hour because of [ a crush ] of sell orders .,crush,sg,NN,[u'leather.n.01'],,NP,[],[],False,[],"['of', 'sell']",[],"['because', 'of']",THE,A
9041,data/parsed/22/wsj_2276.mrg|44|32,"In London , the view from the trading floor of [ an American securities firm , ] Jefferies & Co. , also was troubling .",firm,sg,NN,[u'business.n.01'],,NP,"[',']","['JJ', 'NNS']",False,"[',']","['Jefferies', '&']","['American', u'security']","['floor', 'of']",THE,A
9106,data/parsed/22/wsj_2276.mrg|58|29,"Shortly after 10 a.m. , the Major Market Index , [ a Chicago Board ] of Trade futures contract of 20 stocks designed to mimic the DJIA , exploded upward .",Board,sg,NNP,[u'committee.n.01'],,NP,[],['NNP'],False,[],"['of', 'Trade']",['Chicago'],"['Index', ',']",THE,A
9130,data/parsed/22/wsj_2276.mrg|63|33,"Then , nine minutes later , Wall Street suddenly rebounded to [ a gain ] on the day .",gain,sg,NN,[u'indefinite_quantity.n.01'],,NP,[],[],False,[],['on'],[],"[u'rebound', 'to']",THE,A
9229,data/parsed/22/wsj_2276.mrg|85|9,"Meanwhile , [ a test ] of the stock market 's rally came at about 2 p.m. , with the Dow at 2600 , up 31 points on the day .",test,sg,NN,[u'experiment.n.02'],,NP,[],[],False,[],['of'],[],"['Meanwhile', ',']",THE,A
9314,data/parsed/22/wsj_2277.mrg|1|49,"Skipper 's Inc. , Bellevue , Wash. , said it signed a definitive merger agreement for [ a National Pizza Corp. unit ] to acquire the 90.6 % of Skipper 's Inc. it does n't own for $ 11.50 a share , or about $ 28.1 million .",unit,sg,NN,[u'definite_quantity.n.01'],,PP,[],"['NNP', 'NNP', 'NNP']",False,[],"['to', 'acquire']","['National', 'Pizza', 'Corp.']","['agreement', 'for']",THE,A
9323,data/parsed/22/wsj_2277.mrg|2|13,"NP Acquisition Co. , [ a National Pizza unit , ] plans to begin a tender offer for Skipper 's on Friday , conditioned on at least two-thirds of Skipper 's shares being tendered .",unit,sg,NN,[u'definite_quantity.n.01'],,NP,"[',']","['NNP', 'NNP']",True,"[',']","[u'plan', 'to']","['National', 'Pizza']","['Co.', ',']",THE,A
9342,data/parsed/22/wsj_2277.mrg|6|18,Skipper 's previously turned down [ a $ 10-a-share proposal ] from National Pizza and Pizza Hut Inc. questioned whether the purchase would violate National Pizza 's franchise agreements .,proposal,sg,NN,[u'message.n.02'],,VP,[],"['$', 'JJ']",False,[],"['from', 'National']","['$', '10-a-share']","[u'turn', 'down']",THE,A
9390,data/parsed/22/wsj_2278.mrg|4|68,"Meanwhile , as the first of more than 1,300 East Germans trying to flee to the West through Poland renounced their citizenship , [ a West German newspaper ] reported that regional Communist officials demanded the dismissal of hard-line leader Honecker .",newspaper,sg,NN,[u'press.n.02'],,S,[],"['JJ', 'JJ']",False,[],"[u'report', 'that']","['West', 'German']","['citizenship', ',']",THE,A
9430,data/parsed/22/wsj_2278.mrg|9|44,"The curbs would cover all but a small percentage of flights , and represent [ an expansion ] of the current ban on flights of less than two hours .",expansion,sg,NN,[u'increase.n.05'],,NP,[],[],False,[],['of'],[],"['and', 'represent']",THE,A
9465,data/parsed/22/wsj_2278.mrg|14|25,"The Bush administration is preparing to extend [ a ban ] on federal financing of research using fetal tissue , government sources said S .",ban,sg,NN,[u'decree.n.01'],,NP,[],[],True,[],"['on', 'federal']",[],"['to', 'extend']",THE,A
9471,data/parsed/22/wsj_2278.mrg|15|3,[ A temporary prohibition ] was imposed in March 1988 .,prohibition,sg,NN,[u'law.n.02'],,S,[],['JJ'],False,[],"[u'be', u'impose']",['temporary'],[],THE,A
9480,data/parsed/22/wsj_2278.mrg|17|19,Delegates from 91 nations endorsed [ a ban ] on world ivory trade in an attempt to rescue the endangered elephant from extinction .,ban,sg,NN,[u'decree.n.01'],,NP,[],[],True,[],"['on', 'world']",[],"[u'nation', u'endorse']",THE,A
9561,data/parsed/22/wsj_2278.mrg|32|18,Norway 's King Olav V installed [ a three-party non-Socialist government ] as Gro Harlem Brundtland 's three-year-old Labor regime relinquished power .,government,sg,NN,[u'polity.n.02'],,VP,[],"['JJ', 'JJ']",True,[],"['as', 'Gro']","['three-party', 'non-Socialist']","['V', u'instal']",THE,A
9567,data/parsed/22/wsj_2278.mrg|33|40,"The 19-member cabinet is led by Prime Minister Jan Syse , who acknowledged [ a `` difficult situation '' ] since the coalition controls only 62 seats in Oslo 's 165-member legislature .",situation,sg,NN,[u'state.n.02'],,NP,"[""''""]","['``', 'JJ']",False,"[""''""]",['since'],"['``', 'difficult']","['who', u'acknowledge']",THE,A
9578,data/parsed/22/wsj_2278.mrg|34|50,El Salvador 's government opened a new round of talks with the country 's leftist rebels in [ an effort ] to end a decade-long civil war .,effort,sg,NN,[u'activity.n.01'],,NP,[],[],False,[],"['to', 'end']",[],"[u'rebel', 'in']",THE,A
9579,data/parsed/22/wsj_2278.mrg|34|62,El Salvador 's government opened a new round of talks with the country 's leftist rebels in an effort to end [ a decade-long civil war . ],war,sg,NN,[u'military_action.n.01'],,VP,['.'],"['JJ', 'JJ']",False,['.'],[],"['decade-long', 'civil']","['to', 'end']",THE,A
9767,data/parsed/22/wsj_2281.mrg|7|37,The moves also could erase shareholders ' perception of Blue Arrow as [ a company ] in turmoil .,company,sg,NN,[u'institution.n.01'],,PP,[],[],False,[],"['in', 'turmoil']",[],"['Arrow', 'as']",THE,A
9772,data/parsed/22/wsj_2281.mrg|8|34,"`` It further reinforces the concept that Blue Arrow is [ a thing ] of the past , '' said Doug Arthur , an analyst at Kidder Peabody & Co. in New York .",thing,sg,NN,[u'situation.n.01'],,NP,[],[],False,[],['of'],[],"['Arrow', u'be']",THE,A
9819,data/parsed/22/wsj_2281.mrg|15|6,"As [ a U.S.-based company , ] Blue Arrow would have to amortize the good will over as many as 40 years , creating a continuing drag on reported earnings .",company,sg,NN,[u'institution.n.01'],,PP,"[',']",['JJ'],True,"[',']","['Blue', 'Arrow']",['U.S.-based'],['As'],THE,A
9987,data/parsed/22/wsj_2282.mrg|15|21,"In Barry Wright , Mr. Sim sees [ a situation `` ] very similar '' to the one he faced when he joined Applied as president and chief operating officer in 1985 .",situation,sg,NN,[u'state.n.02'],,VP,['``'],[],False,['``'],"['very', 'similar']",[],"['Sim', u'see']",THE,A
9996,data/parsed/22/wsj_2282.mrg|16|9,"Applied , [ then a closely held company , ] was stagnating under the management of its controlling family .",company,sg,NN,[u'institution.n.01'],,NP,"[',']","['RB', 'RB', 'VBN']",False,"[',']","[u'be', u'stagnate']","['then', 'closely', u'hold']","['Applied', ',']",THE,A
10055,data/parsed/22/wsj_2282.mrg|27|19,"He took the company public in [ an offering ] that netted Applied about $ 12.6 million , which helped launch the company 's acquisition program .",offering,sg,NN,[u'message.n.02'],,PP,[],[],False,[],"['that', 'netted']",[],"['public', 'in']",THE,A
